Frecuencia	Vi	Vo
10	0.624	1.70
20	0.616	1.92
30	0.64	2.38
40	0.632	2.50
50	0.64	2.60
59	0.624	2.60
70	0.648	2.66
80	0.656	2.68
90	0.648	2.68
100	0.632	2.68
200	0.662	2.80
302	0.648	2.72
401	0.660	2.78
502	0.660	2.82
601	0.648	2.74
700	0.644	2.74
801	0.628	2.74
908	0.628	2.76
1000	0.628	2.76
10000	0.62	2.7
100000	0.612	2.64
200000	0.62	2.66
301000	0.668	2.78
403000	0.608	2.54
502000	0.608	2.50
602000	0.608	2.44
699000	0.604	2.38
801000	0.604	2.30
905000	0.604	2.28
1000000	0.604	2.22
2000000	0.60	2.06
3060000	0.816	2.70
4000000	0.848	2.70
4950000	0.888	2.70
5950000	0.928	2.78
