Frecuencia	Vi	Vo
10	360e-3	340e-3
15	360e-3	640e-3
20	350e-3	720e-3
30	350e-3	0.8
40	350e-3	0.85
50	360e-3	0.9
60	390e-3	1
70	380e-3	1.1
80	370e-3	1.1
90	340e-3	1
100	360e-3	1.1
150	360e-3	1.16
1e3	360e-3	1.14
10e3	360e-3	1.12
40e3	364e-3	1.14
50e3	360e-3	1.13
100e3	364e-3	1.14
500e3	38.2e-3	121e-3
1e6	34.4e-3	106e-3
1.5e6	36e-3	108e-3
2e6	36e-3	102e-3
3e6	36e-3	98e-3
3.5e6	36e-3	90e-3
3.98e6	34e-3	84e-3
5e6	34e-3	82e-3
6e6	34e-3	76e-3
7e6	34e-3	70e-3
8e6	34e-3	64e-3
9e6	34e-3	60e-3
10e6	34e-3	56e-3
