Time	Vo
1	-1.04000
2	-0.48000
3	0.08000
4	0.72000
5	1.36000
6	1.92000
7	2.56000
8	3.28000
9	3.84000
10	4.48000
11	4.96000
12	5.52000
13	5.92000
14	6.08000
15	6.24000
16	6.32000
17	6.40000
18	6.48000
19	6.48000
20	6.56000
21	6.56000
22	6.56000
23	6.48000
24	6.48000
25	6.32000
26	6.24000
27	6.08000
28	5.84000
29	5.68000
30	5.52000
31	5.20000
32	4.88000
33	4.64000
34	4.32000
35	4.00000
36	3.60000
37	3.28000
38	2.96000
39	2.48000
40	2.08000
41	1.68000
42	1.28000
43	0.80000
44	0.40000
45	-0.08000
46	-0.48000
47	-0.88000
48	-1.36000
49	-1.76000
50	-2.16000
51	-2.56000
52	-2.96000
53	-3.44000
54	-3.84000
55	-4.16000
56	-4.40000
57	-4.72000
58	-5.04000
59	-5.36000
60	-5.60000
61	-5.84000
62	-6.08000
63	-6.24000
64	-6.40000
65	-6.48000
66	-6.56000
67	-6.64000
68	-6.72000
69	-6.72000
70	-6.72000
71	-6.72000
72	-6.64000
73	-6.48000
74	-6.32000
75	-6.16000
76	-6.00000
77	-5.76000
78	-5.44000
79	-5.20000
80	-4.88000
81	-4.48000
82	-4.08000
83	-3.68000
84	-3.20000
85	-2.72000
86	-2.16000
87	-1.60000
88	-1.04000
89	-0.48000
90	0.08000
91	0.72000
92	1.36000
93	1.92000
94	2.56000
95	3.20000
96	3.76000
97	4.48000
98	5.04000
99	5.52000
100	5.92000
101	6.08000
102	6.24000
103	6.32000
104	6.40000
105	6.40000
106	6.56000
107	6.56000
108	6.56000
109	6.56000
110	6.56000
111	6.48000
112	6.40000
113	6.24000
114	6.08000
115	5.92000
116	5.68000
117	5.44000
118	5.28000
119	4.96000
120	4.64000
121	4.32000
122	4.08000
123	3.68000
124	3.28000
125	2.88000
126	2.48000
127	2.08000
128	1.68000
129	1.28000
130	0.80000
131	0.40000
132	0.00000
133	-0.48000
134	-0.88000
135	-1.36000
136	-1.76000
137	-2.24000
138	-2.56000
139	-2.96000
140	-3.36000
141	-3.68000
142	-4.08000
143	-4.40000
144	-4.72000
145	-5.04000
146	-5.36000
147	-5.52000
148	-5.76000
149	-6.08000
150	-6.16000
151	-6.32000
152	-6.40000
153	-6.56000
154	-6.64000
155	-6.72000
156	-6.72000
157	-6.72000
158	-6.64000
159	-6.64000
160	-6.48000
161	-6.32000
162	-6.16000
163	-6.00000
164	-5.76000
165	-5.52000
166	-5.20000
167	-4.88000
168	-4.48000
169	-4.08000
170	-3.68000
171	-3.20000
172	-2.72000
173	-2.24000
174	-1.68000
175	-1.04000
176	-0.48000
177	0.00000
178	0.64000
179	1.28000
180	1.92000
181	2.56000
182	3.20000
183	3.76000
184	4.40000
185	4.96000
186	5.52000
187	5.92000
188	6.16000
189	6.24000
190	6.32000
191	6.40000
192	6.48000
193	6.56000
194	6.56000
195	6.56000
196	6.56000
197	6.48000
198	6.48000
199	6.32000
200	6.24000
201	6.08000
202	5.84000
203	5.68000
204	5.44000
205	5.28000
206	4.96000
207	4.72000
208	4.32000
209	4.00000
210	3.68000
211	3.28000
212	2.96000
213	2.48000
214	2.16000
215	1.76000
216	1.28000
217	0.88000
218	0.48000
219	0.00000
220	-0.48000
221	-0.88000
222	-1.20000
223	-1.68000
224	-2.08000
225	-2.48000
226	-2.96000
227	-3.28000
228	-3.68000
229	-4.08000
230	-4.32000
231	-4.72000
232	-4.96000
233	-5.28000
234	-5.52000
235	-5.84000
236	-6.00000
237	-6.16000
238	-6.32000
239	-6.48000
240	-6.56000
241	-6.64000
242	-6.64000
243	-6.64000
244	-6.72000
245	-6.64000
246	-6.56000
247	-6.48000
248	-6.32000
249	-6.24000
250	-6.00000
251	-5.76000
252	-5.44000
253	-5.12000
254	-4.80000
255	-4.48000
256	-4.08000
257	-3.68000
258	-3.20000
259	-2.72000
260	-2.16000
261	-1.68000
262	-1.12000
263	-0.48000
264	0.08000
265	0.64000
266	1.28000
267	1.92000
268	2.48000
269	3.12000
270	3.76000
271	4.40000
272	4.96000
273	5.52000
274	5.92000
275	6.08000
276	6.24000
277	6.32000
278	6.40000
279	6.48000
280	6.48000
281	6.56000
282	6.56000
283	6.56000
284	6.56000
285	6.48000
286	6.40000
287	6.24000
288	6.08000
289	5.92000
290	5.76000
291	5.44000
292	5.28000
293	4.96000
294	4.64000
295	4.32000
296	4.00000
297	3.68000
298	3.28000
299	2.96000
300	2.56000
301	2.16000
302	1.68000
303	1.28000
304	0.88000
305	0.40000
306	0.00000
307	-0.40000
308	-0.88000
309	-1.28000
310	-1.68000
311	-2.16000
312	-2.56000
313	-2.96000
314	-3.36000
315	-3.68000
316	-4.08000
317	-4.40000
318	-4.72000
319	-5.04000
320	-5.28000
321	-5.60000
322	-5.84000
323	-6.00000
324	-6.16000
325	-6.40000
326	-6.48000
327	-6.56000
