Time	Vo
1	-1.040000
2	-0.480000
3	0.080000
4	0.720000
5	1.360000
6	1.920000
7	2.560000
8	3.280000
9	3.840000
10	4.480000
11	4.960000
12	5.520000
13	5.920000
14	6.080000
15	6.240000
16	6.320000
17	6.400000
18	6.480000
19	6.480000
20	6.560000
21	6.560000
22	6.560000
23	6.480000
24	6.480000
25	6.320000
26	6.240000
27	6.080000
28	5.840000
29	5.680000
30	5.520000
31	5.200000
32	4.880000
33	4.640000
34	4.320000
35	4.000000
36	3.600000
37	3.280000
38	2.960000
39	2.480000
40	2.080000
41	1.680000
42	1.280000
43	0.800000
44	0.400000
45	-0.080000
46	-0.480000
47	-0.880000
48	-1.360000
49	-1.760000
50	-2.160000
51	-2.560000
52	-2.960000
53	-3.440000
54	-3.840000
55	-4.160000
56	-4.400000
57	-4.720000
58	-5.040000
59	-5.360000
60	-5.600000
61	-5.840000
62	-6.080000
63	-6.240000
64	-6.400000
65	-6.480000
66	-6.560000
67	-6.640000
68	-6.720000
69	-6.720000
70	-6.720000
71	-6.720000
72	-6.640000
73	-6.480000
74	-6.320000
75	-6.160000
76	-6.000000
77	-5.760000
78	-5.440000
79	-5.200000
80	-4.880000
81	-4.480000
82	-4.080000
83	-3.680000
84	-3.200000
85	-2.720000
86	-2.160000
87	-1.600000
88	-1.040000
89	-0.480000
90	0.080000
91	0.720000
92	1.360000
93	1.920000
94	2.560000
95	3.200000
96	3.760000
97	4.480000
98	5.040000
99	5.520000
100	5.920000
101	6.080000
102	6.240000
103	6.320000
104	6.400000
105	6.400000
106	6.560000
107	6.560000
108	6.560000
109	6.560000
110	6.560000
111	6.480000
112	6.400000
113	6.240000
114	6.080000
115	5.920000
116	5.680000
117	5.440000
118	5.280000
119	4.960000
120	4.640000
121	4.320000
122	4.080000
123	3.680000
124	3.280000
125	2.880000
126	2.480000
127	2.080000
128	1.680000
129	1.280000
130	0.800000
131	0.400000
132	0.000000
133	-0.480000
134	-0.880000
135	-1.360000
136	-1.760000
137	-2.240000
138	-2.560000
139	-2.960000
140	-3.360000
141	-3.680000
142	-4.080000
143	-4.400000
144	-4.720000
145	-5.040000
146	-5.360000
147	-5.520000
148	-5.760000
149	-6.080000
150	-6.160000
151	-6.320000
152	-6.400000
153	-6.560000
154	-6.640000
155	-6.720000
156	-6.720000
157	-6.720000
158	-6.640000
159	-6.640000
160	-6.480000
161	-6.320000
162	-6.160000
163	-6.000000
164	-5.760000
165	-5.520000
166	-5.200000
167	-4.880000
168	-4.480000
169	-4.080000
170	-3.680000
171	-3.200000
172	-2.720000
173	-2.240000
174	-1.680000
175	-1.040000
176	-0.480000
177	0.000000
178	0.640000
179	1.280000
180	1.920000
181	2.560000
182	3.200000
183	3.760000
184	4.400000
185	4.960000
186	5.520000
187	5.920000
188	6.160000
189	6.240000
190	6.320000
191	6.400000
192	6.480000
193	6.560000
194	6.560000
195	6.560000
196	6.560000
197	6.480000
198	6.480000
199	6.320000
200	6.240000
201	6.080000
202	5.840000
203	5.680000
204	5.440000
205	5.280000
206	4.960000
207	4.720000
208	4.320000
209	4.000000
210	3.680000
211	3.280000
212	2.960000
213	2.480000
214	2.160000
215	1.760000
216	1.280000
217	0.880000
218	0.480000
219	0.000000
220	-0.480000
221	-0.880000
222	-1.200000
223	-1.680000
224	-2.080000
225	-2.480000
226	-2.960000
227	-3.280000
228	-3.680000
229	-4.080000
230	-4.320000
231	-4.720000
232	-4.960000
233	-5.280000
234	-5.520000
235	-5.840000
236	-6.000000
237	-6.160000
238	-6.320000
239	-6.480000
240	-6.560000
241	-6.640000
242	-6.640000
243	-6.640000
244	-6.720000
245	-6.640000
246	-6.560000
247	-6.480000
248	-6.320000
249	-6.240000
250	-6.000000
251	-5.760000
252	-5.440000
253	-5.120000
254	-4.800000
255	-4.480000
256	-4.080000
257	-3.680000
258	-3.200000
259	-2.720000
260	-2.160000
261	-1.680000
262	-1.120000
263	-0.480000
264	0.080000
265	0.640000
266	1.280000
267	1.920000
268	2.480000
269	3.120000
270	3.760000
271	4.400000
272	4.960000
273	5.520000
274	5.920000
275	6.080000
276	6.240000
277	6.320000
278	6.400000
279	6.480000
280	6.480000
281	6.560000
282	6.560000
283	6.560000
284	6.560000
285	6.480000
286	6.400000
287	6.240000
288	6.080000
289	5.920000
290	5.760000
291	5.440000
292	5.280000
293	4.960000
294	4.640000
295	4.320000
296	4.000000
297	3.680000
298	3.280000
299	2.960000
300	2.560000
301	2.160000
302	1.680000
303	1.280000
304	0.880000
305	0.400000
306	0.000000
307	-0.400000
308	-0.880000
309	-1.280000
310	-1.680000
311	-2.160000
312	-2.560000
313	-2.960000
314	-3.360000
315	-3.680000
316	-4.080000
317	-4.400000
318	-4.720000
319	-5.040000
320	-5.280000
321	-5.600000
322	-5.840000
323	-6.000000
324	-6.160000
325	-6.400000
326	-6.480000
327	-6.560000
328	-6.720000
329	-6.720000
330	-6.720000
331	-6.800000
332	-6.720000
333	-6.640000
334	-6.480000
335	-6.400000
336	-6.240000
337	-6.080000
338	-5.760000
339	-5.520000
340	-5.280000
341	-4.960000
342	-4.560000
343	-4.160000
344	-3.680000
345	-3.280000
346	-2.800000
347	-2.240000
348	-1.760000
349	-1.200000
350	-0.640000
351	0.000000
352	0.640000
353	1.280000
354	1.840000
355	2.480000
356	3.120000
357	3.760000
358	4.400000
359	4.960000
360	5.440000
361	5.840000
362	6.080000
363	6.240000
364	6.320000
365	6.400000
366	6.480000
367	6.480000
368	6.560000
369	6.560000
370	6.560000
371	6.560000
372	6.480000
373	6.320000
374	6.240000
375	6.080000
376	5.920000
377	5.680000
378	5.520000
379	5.200000
380	4.960000
381	4.720000
382	4.400000
383	4.080000
384	3.680000
385	3.280000
386	2.960000
387	2.480000
388	2.160000
389	1.760000
390	1.280000
391	0.880000
392	0.480000
393	0.000000
394	-0.400000
395	-0.800000
396	-1.280000
397	-1.680000
398	-2.080000
399	-2.560000
400	-2.960000
401	-3.280000
402	-3.680000
403	-4.080000
404	-4.400000
405	-4.720000
406	-4.960000
407	-5.280000
408	-5.520000
409	-5.840000
410	-6.000000
411	-6.240000
412	-6.400000
413	-6.560000
414	-6.560000
415	-6.720000
416	-6.800000
417	-6.800000
418	-6.800000
419	-6.720000
420	-6.640000
421	-6.560000
422	-6.480000
423	-6.240000
424	-6.080000
425	-5.840000
426	-5.520000
427	-5.280000
428	-4.960000
429	-4.640000
430	-4.240000
431	-3.760000
432	-3.280000
433	-2.800000
434	-2.320000
435	-1.840000
436	-1.200000
437	-0.640000
438	-0.080000
439	0.560000
440	1.200000
441	1.760000
442	2.400000
443	3.040000
444	3.680000
445	4.320000
446	4.800000
447	5.440000
448	5.840000
449	6.080000
450	6.160000
451	6.320000
452	6.400000
453	6.400000
454	6.480000
455	6.560000
456	6.560000
457	6.560000
458	6.560000
459	6.480000
460	6.400000
461	6.240000
462	6.080000
463	5.920000
464	5.760000
465	5.520000
466	5.280000
467	4.960000
468	4.720000
469	4.400000
470	4.080000
471	3.760000
472	3.360000
473	2.960000
474	2.560000
475	2.160000
476	1.760000
477	1.360000
478	0.880000
479	0.400000
480	0.080000
481	-0.400000
482	-0.800000
483	-1.200000
484	-1.680000
485	-2.080000
486	-2.480000
487	-2.960000
488	-3.360000
489	-3.680000
490	-4.080000
491	-4.400000
492	-4.720000
493	-4.960000
494	-5.280000
495	-5.520000
496	-5.840000
497	-6.080000
498	-6.160000
499	-6.320000
500	-6.560000
501	-6.640000
502	-6.720000
503	-6.720000
504	-6.800000
505	-6.800000
506	-6.800000
507	-6.720000
508	-6.560000
509	-6.480000
510	-6.320000
511	-6.160000
512	-5.920000
513	-5.680000
514	-5.360000
515	-5.040000
516	-4.640000
517	-4.320000
518	-3.840000
519	-3.440000
520	-2.960000
521	-2.400000
522	-1.840000
523	-1.280000
524	-0.720000
525	-0.160000
526	0.480000
527	1.120000
528	1.760000
529	2.400000
530	2.960000
531	3.600000
532	4.240000
533	4.800000
534	5.360000
535	5.840000
536	6.000000
537	6.240000
538	6.240000
539	6.400000
540	6.400000
541	6.480000
542	6.560000
543	6.560000
544	6.560000
545	6.480000
546	6.400000
547	6.400000
548	6.320000
549	6.160000
550	5.920000
551	5.760000
552	5.520000
553	5.280000
554	5.040000
555	4.720000
556	4.480000
557	4.080000
558	3.760000
559	3.440000
560	3.040000
561	2.560000
562	2.240000
563	1.760000
564	1.360000
565	0.880000
566	0.560000
567	0.080000
568	-0.320000
569	-0.800000
570	-1.280000
571	-1.680000
572	-2.080000
573	-2.480000
574	-2.880000
575	-3.280000
576	-3.680000
577	-4.000000
578	-4.320000
579	-4.720000
580	-5.040000
581	-5.280000
582	-5.520000
583	-5.840000
584	-6.000000
585	-6.240000
586	-6.400000
587	-6.560000
588	-6.640000
589	-6.720000
590	-6.800000
591	-6.800000
592	-6.800000
593	-6.720000
594	-6.720000
595	-6.640000
596	-6.480000
597	-6.320000
598	-6.160000
599	-6.000000
600	-5.760000
601	-5.360000
602	-5.040000
603	-4.720000
604	-4.320000
605	-3.840000
606	-3.440000
607	-2.960000
608	-2.400000
609	-1.920000
610	-1.360000
611	-0.800000
612	-0.240000
613	0.480000
614	1.040000
615	1.600000
616	2.320000
617	2.960000
618	3.600000
619	4.160000
620	4.800000
621	5.280000
622	5.760000
623	6.000000
624	6.160000
625	6.240000
626	6.320000
627	6.480000
628	6.480000
629	6.560000
630	6.560000
631	6.560000
632	6.560000
633	6.480000
634	6.400000
635	6.240000
636	6.160000
637	5.920000
638	5.760000
639	5.520000
640	5.360000
641	5.040000
642	4.720000
643	4.400000
644	4.160000
645	3.760000
646	3.440000
647	3.040000
648	2.640000
649	2.240000
650	1.840000
651	1.440000
652	0.960000
653	0.560000
654	0.160000
655	-0.320000
656	-0.720000
657	-1.200000
658	-1.600000
659	-2.000000
660	-2.400000
661	-2.880000
662	-3.280000
663	-3.600000
664	-4.000000
665	-4.400000
666	-4.640000
667	-4.960000
668	-5.280000
669	-5.520000
670	-5.840000
671	-6.000000
672	-6.240000
673	-6.320000
674	-6.480000
675	-6.640000
676	-6.720000
677	-6.800000
678	-6.880000
679	-6.880000
680	-6.800000
681	-6.720000
682	-6.560000
683	-6.480000
684	-6.400000
685	-6.160000
686	-5.920000
687	-5.760000
688	-5.360000
689	-5.120000
690	-4.720000
691	-4.320000
692	-3.920000
693	-3.520000
694	-2.960000
695	-2.480000
696	-2.000000
697	-1.360000
698	-0.880000
699	-0.240000
700	0.320000
