Frecuencia	Ganancia	Fase
1.00000000000000e+000	-1.70323721802543e+001	-4.48199972318713e+001
1.07977516232771e+000	-1.60446462758240e+001	-4.67864732701425e+001
1.16591440117983e+000	-1.50761361337417e+001	-4.87211980824573e+001
1.25892541179417e+000	-1.41253831579505e+001	-5.06162422362179e+001
1.35935639087853e+000	-1.31906838709694e+001	-5.24656995511610e+001
1.46779926762207e+000	-1.22701487250884e+001	-5.42660164694128e+001
1.58489319246111e+000	-1.13617702025862e+001	-5.60162422747940e+001
1.71132830416178e+000	-1.04634976448506e+001	-5.77181925169073e+001
1.84784979742229e+000	-9.57331644095197e+000	-5.93765212613602e+001
1.99526231496888e+000	-8.68932942817337e+000	-6.09986993850035e+001
2.15443469003188e+000	-7.80983846255005e+000	-6.25948964360883e+001
2.32630506715363e+000	-6.93342401312425e+000	-6.41777634032661e+001
2.51188643150958e+000	-6.05902030634969e+000	-6.57621141133788e+001
2.71227257933203e+000	-5.18598306899962e+000	-6.73645048597290e+001
2.92864456462524e+000	-4.31414643222930e+000	-6.90027158580988e+001
3.16227766016838e+000	-3.44386524722417e+000	-7.06951442989507e+001
3.41454887383360e+000	-2.57603909759865e+000	-7.24601265530560e+001
3.68694506451958e+000	-1.71211479548750e+000	-7.43152153970148e+001
3.98107170553497e+000	-8.54065147907327e-001	-7.62764455512595e+001
4.29866234708228e+000	-4.34320607135715e-003	-7.83576259775451e+001
4.64158883361278e+000	8.34187096263245e-001	-8.05696992149156e+001
5.01187233627272e+000	1.65834126010219e+000	-8.29202060512309e+001
5.41169526546464e+000	2.46472125127906e+000	-8.54128881637718e+001
5.84341413373518e+000	3.24983375756855e+000	-8.80474526874378e+001
6.30957344480193e+000	4.01021341190656e+000	-9.08195120057310e+001
6.81292069057961e+000	4.74254446624232e+000	-9.37207005770895e+001
7.35642254459641e+000	5.44377465517797e+000	-9.67389594414244e+001
7.94328234724281e+000	6.11121568693717e+000	-9.98589691618092e+001
8.57695898590894e+000	6.74262583936603e+000	-1.03062704044268e+002
9.26118728128793e+000	7.33627140067297e+000	-1.06330074935453e+002
1.00000000000000e+001	7.89096506133812e+000	-1.09639624817577e+002
1.07977516232771e+001	8.40608073677427e+000	-1.12969240673661e+002
1.16591440117983e+001	8.88154560750168e+000	-1.16296846449210e+002
1.25892541179417e+001	9.31781135130661e+000	-1.19601045150071e+002
1.35935639087853e+001	9.71580756365108e+000	-1.22861682985708e+002
1.46779926762207e+001	1.00768811657640e+001	-1.26060314772416e+002
1.58489319246111e+001	1.04027261262089e+001	-1.29180557219637e+002
1.71132830416178e+001	1.06953080201530e+001	-1.32208324714831e+002
1.84784979742229e+001	1.09567877980544e+001	-1.35131950101512e+002
1.99526231496888e+001	1.11894486528026e+001	-1.37942199944046e+002
2.15443469003188e+001	1.13956291307207e+001	-1.40632199219004e+002
2.32630506715363e+001	1.15776647313274e+001	-1.43197283837207e+002
2.51188643150958e+001	1.17378393014560e+001	-1.45634800777326e+002
2.71227257933203e+001	1.18783466580126e+001	-1.47943875104821e+002
2.92864456462524e+001	1.20012621486044e+001	-1.50125161185683e+002
3.16227766016838e+001	1.21085233224383e+001	-1.52180592512365e+002
3.41454887383360e+001	1.22019185423011e+001	-1.54113141258364e+002
3.68694506451957e+001	1.22830822033877e+001	-1.55926595397499e+002
3.98107170553497e+001	1.23534952013596e+001	-1.57625358265363e+002
4.29866234708228e+001	1.24144893705251e+001	-1.59214272974890e+002
4.64158883361278e+001	1.24672547549199e+001	-1.60698472186802e+002
5.01187233627272e+001	1.25128487483453e+001	-1.62083252361298e+002
5.41169526546464e+001	1.25522063201663e+001	-1.63373970714259e+002
5.84341413373518e+001	1.25861507151829e+001	-1.64575962581666e+002
6.30957344480193e+001	1.26154041692066e+001	-1.65694476668711e+002
6.81292069057961e+001	1.26405983120041e+001	-1.66734625641428e+002
7.35642254459641e+001	1.26622840357423e+001	-1.67701349638372e+002
7.94328234724281e+001	1.26809406908817e+001	-1.68599390482515e+002
8.57695898590894e+001	1.26969845355150e+001	-1.69433274618102e+002
9.26118728128793e+001	1.27107764113690e+001	-1.70207303054908e+002
1.00000000000000e+002	1.27226286532564e+001	-1.70925546854093e+002
1.07977516232771e+002	1.27328112615336e+001	-1.71591846924263e+002
1.16591440117983e+002	1.27415573816087e+001	-1.72209817107204e+002
1.25892541179417e+002	1.27490681428364e+001	-1.72782849717754e+002
1.35935639087853e+002	1.27555169129576e+001	-1.73314122861260e+002
1.46779926762207e+002	1.27610530248330e+001	-1.73806608986770e+002
1.58489319246111e+002	1.27658050307696e+001	-1.74263084246500e+002
1.71132830416178e+002	1.27698835367935e+001	-1.74686138325091e+002
1.84784979742229e+002	1.27733836655726e+001	-1.75078184478153e+002
1.99526231496888e+002	1.27763871925568e+001	-1.75441469581310e+002
2.15443469003188e+002	1.27789643957012e+001	-1.75778084040577e+002
2.32630506715363e+002	1.27811756549521e+001	-1.76089971454552e+002
2.51188643150958e+002	1.27830728337320e+001	-1.76378937950325e+002
2.71227257933203e+002	1.27847004709270e+001	-1.76646661139752e+002
2.92864456462524e+002	1.27860968084938e+001	-1.76894698661985e+002
3.16227766016838e+002	1.27872946766883e+001	-1.77124496293068e+002
3.41454887383360e+002	1.27883222561895e+001	-1.77337395614805e+002
3.68694506451957e+002	1.27892037338713e+001	-1.77534641243667e+002
3.98107170553497e+002	1.27899598667836e+001	-1.77717387626899e+002
4.29866234708228e+002	1.27906084670576e+001	-1.77886705417613e+002
4.64158883361278e+002	1.27911648186152e+001	-1.78043587443886e+002
5.01187233627272e+002	1.27916420352050e+001	-1.78188954289097e+002
5.41169526546464e+002	1.27920513679636e+001	-1.78323659502086e+002
5.84341413373517e+002	1.27924024695149e+001	-1.78448494456458e+002
6.30957344480193e+002	1.27927036207576e+001	-1.78564192878607e+002
6.81292069057961e+002	1.27929619255543e+001	-1.78671435063944e+002
7.35642254459641e+002	1.27931834778413e+001	-1.78770851800440e+002
7.94328234724281e+002	1.27933735050661e+001	-1.78863028018050e+002
8.57695898590894e+002	1.27935364912697e+001	-1.78948506181898e+002
9.26118728128793e+002	1.27936762827339e+001	-1.79027789446341e+002
1.00000000000000e+003	1.27937961785934e+001	-1.79101344586215e+002
1.07977516232771e+003	1.27938990086064e+001	-1.79169604720702e+002
1.16591440117983e+003	1.27939871998730e+001	-1.79232971844443e+002
1.25892541179417e+003	1.27940628340688e+001	-1.79291819179654e+002
1.35935639087853e+003	1.27941276965289e+001	-1.79346493362193e+002
1.46779926762207e+003	1.27941833183842e+001	-1.79397316473742e+002
1.58489319246111e+003	1.27942310126624e+001	-1.79444587931497e+002
1.71132830416178e+003	1.27942719052739e+001	-1.79488586246053e+002
1.84784979742229e+003	1.27943069615946e+001	-1.79529570657475e+002
