Frecuencia	Ganancia	Fase
1.00000000000000e+000	-1.74580904784899e+001	-4.53017156310223e+001
1.07977516232771e+000	-1.64715059656678e+001	-4.73058980350059e+001
1.16591440117983e+000	-1.55043237945621e+001	-4.92811385257503e+001
1.25892541179417e+000	-1.45551147737817e+001	-5.12196803254947e+001
1.35935639087853e+000	-1.36222091278120e+001	-5.31157912175971e+001
1.46779926762207e+000	-1.27037558349848e+001	-5.49660901683089e+001
1.58489319246111e+000	-1.17977912828415e+001	-5.67697939719940e+001
1.71132830416178e+000	-1.09023146669091e+001	-5.85288761099030e+001
1.84784979742229e+000	-1.00153677424671e+001	-6.02481332643097e+001
1.99526231496888e+000	-9.13511675180041e+000	-6.19351565198573e+001
2.15443469003188e+000	-8.25993444380628e+000	-6.36002045886806e+001
2.32630506715363e+000	-7.38847998503971e+000	-6.52559762410107e+001
2.51188643150958e+000	-6.51977421849522e+000	-6.69172795455640e+001
2.71227257933203e+000	-5.65326723131995e+000	-6.86005974876099e+001
2.92864456462524e+000	-4.78889468962674e+000	-7.03235536563290e+001
3.16227766016838e+000	-3.92711907080328e+000	-7.21042880497394e+001
3.41454887383360e+000	-3.06895194780665e+000	-7.39607610861466e+001
3.68694506451958e+000	-2.21595398036633e+000	-7.59100125421201e+001
3.98107170553497e+000	-1.37021028119447e+000	-7.79674099484872e+001
4.29866234708228e+000	-5.34280286277985e-001	-8.01459265569134e+001
4.64158883361278e+000	2.88876985629779e-001	-8.24554912454285e+001
5.01187233627272e+000	1.09599955458961e+000	-8.49024510992742e+001
5.41169526546464e+000	1.88363653551398e+000	-8.74891819171102e+001
5.84341413373518e+000	2.64827378133105e+000	-9.02138731020556e+001
6.30957344480193e+000	3.38646431891989e+000	-9.30705022020822e+001
6.81292069057961e+000	4.09495636909990e+000	-9.60490018391765e+001
7.35642254459641e+000	4.77081188498578e+000	-9.91356090233436e+001
7.94328234724281e+000	5.41150921986565e+000	-1.02313374945460e+002
8.57695898590894e+000	6.01502468214808e+000	-1.05562803229911e+002
9.26118728128793e+000	6.57988925107571e+000	-1.08862577087552e+002
1.00000000000000e+001	7.10521848485770e+000	-1.12190331411569e+002
1.07977516232771e+001	7.59071550493400e+000	-1.15523424915013e+002
1.16591440117983e+001	8.03664872990312e+000	-1.18839669941126e+002
1.25892541179417e+001	8.44380760616976e+000	-1.22117983298274e+002
1.35935639087853e+001	8.81344080391822e+000	-1.25338929782287e+002
1.46779926762207e+001	9.14718211419023e+000	-1.28485140071567e+002
1.58489319246111e+001	9.44696954432835e+000	-1.31541595337825e+002
1.71132830416178e+001	9.71496287526655e+000	-1.34495781072432e+002
1.84784979742229e+001	9.95346428843973e+000	-1.37337721267594e+002
1.99526231496888e+001	1.01648457147479e+001	-1.40059910478757e+002
2.15443469003188e+001	1.03514854516545e+001	-1.42657165084032e+002
2.32630506715363e+001	1.05157154824109e+001	-1.45126416303831e+002
2.51188643150958e+001	1.06597799331668e+001	-1.47466466633372e+002
2.71227257933203e+001	1.07858042976666e+001	-1.49677728855726e+002
2.92864456462524e+001	1.08957744800538e+001	-1.51761963386505e+002
3.16227766016838e+001	1.09915243513008e+001	-1.53722025939805e+002
3.41454887383360e+001	1.10747303546465e+001	-1.55561633857867e+002
3.68694506451957e+001	1.11469116875807e+001	-1.57285156219092e+002
3.98107170553497e+001	1.12094346858563e+001	-1.58897430190700e+002
4.29866234708228e+001	1.12635201968989e+001	-1.60403604067351e+002
4.64158883361278e+001	1.13102529213356e+001	-1.61809005999776e+002
5.01187233627272e+001	1.13505918971862e+001	-1.63119036486464e+002
5.41169526546464e+001	1.13853814852696e+001	-1.64339082176461e+002
5.84341413373518e+001	1.14153623767966e+001	-1.65474448311778e+002
6.30957344480193e+001	1.14411822815181e+001	-1.66530307133812e+002
6.81292069057961e+001	1.14634060661175e+001	-1.67511659715124e+002
7.35642254459641e+001	1.14825252001733e+001	-1.68423308898070e+002
7.94328234724281e+001	1.14989664334566e+001	-1.69269841282751e+002
8.57695898590894e+001	1.15130996772649e+001	-1.70055616478981e+002
9.26118728128793e+001	1.15252450971160e+001	-1.70784762101393e+002
1.00000000000000e+002	1.15356794475594e+001	-1.71461173231778e+002
1.07977516232771e+002	1.15446416947063e+001	-1.72088515292479e+002
1.16591440117983e+002	1.15523379805474e+001	-1.72670229466845e+002
1.25892541179417e+002	1.15589459869508e+001	-1.73209539967695e+002
1.35935639087853e+002	1.15646187578496e+001	-1.73709462594093e+002
1.46779926762207e+002	1.15694880364715e+001	-1.74172814133040e+002
1.58489319246111e+002	1.15736671715210e+001	-1.74602222258624e+002
1.71132830416178e+002	1.15772536423283e+001	-1.75000135659651e+002
1.84784979742229e+002	1.15803312487888e+001	-1.75368834190353e+002
1.99526231496888e+002	1.15829720075226e+001	-1.75710438889967e+002
2.15443469003188e+002	1.15852377914227e+001	-1.76026921757784e+002
2.32630506715363e+002	1.15871817456521e+001	-1.76320115202670e+002
2.51188643150958e+002	1.15888495093616e+001	-1.76591721111501e+002
2.71227257933203e+002	1.15902802688760e+001	-1.76843319500812e+002
2.92864456462524e+002	1.15915076649433e+001	-1.77076376731312e+002
3.16227766016838e+002	1.15925605737665e+001	-1.77292253276638e+002
3.41454887383360e+002	1.15934637790436e+001	-1.77492211046583e+002
3.68694506451957e+002	1.15942385499468e+001	-1.77677420271606e+002
3.98107170553497e+002	1.15949031379940e+001	-1.77848965960196e+002
4.29866234708228e+002	1.15954732041064e+001	-1.78007853944050e+002
4.64158883361278e+002	1.15959621854919e+001	-1.78155016528271e+002
5.01187233627272e+002	1.15963816107891e+001	-1.78291317765222e+002
5.41169526546464e+002	1.15967413707270e+001	-1.78417558371461e+002
5.84341413373517e+002	1.15970499504896e+001	-1.78534480307430e+002
6.30957344480193e+002	1.15973146292229e+001	-1.78642771039518e+002
6.81292069057961e+002	1.15975416512809e+001	-1.78743067503722e+002
7.35642254459641e+002	1.15977363731960e+001	-1.78835959789599e+002
7.94328234724281e+002	1.15979033898185e+001	-1.78921994562513e+002
8.57695898590894e+002	1.15980466425469e+001	-1.79001678241380e+002
9.26118728128793e+002	1.15981695122241e+001	-1.79075479948296e+002
1.00000000000000e+003	1.15982748988050e+001	-1.79143834245566e+002
1.07977516232771e+003	1.15983652897361e+001	-1.79207143674780e+002
1.16591440117983e+003	1.15984428186161e+001	-1.79265781111727e+002
1.25892541179417e+003	1.15985093155172e+001	-1.79320091950077e+002
1.35935639087853e+003	1.15985663501425e+001	-1.79370396125977e+002
1.46779926762207e+003	1.15986152688805e+001	-1.79416989994876e+002
1.58489319246111e+003	1.15986572265518e+001	-1.79460148071199e+002
1.71132830416178e+003	1.15986932136644e+001	-1.79500124640721e+002
1.84784979742229e+003	1.15987240798037e+001	-1.79537155254880e+002
1.99526231496888e+003	1.15987505536568e+001	-1.79571458115563e+002
2.15443469003188e+003	1.15987732602357e+001	-1.79603235358375e+002
2.32630506715363e+003	1.15987927356126e+001	-1.79632674241780e+002
2.51188643150958e+003	1.15988094395800e+001	-1.79659948249022e+002
2.71227257933203e+003	1.15988237665052e+001	-1.79685218109213e+002
2.92864456462524e+003	1.15988360546391e+001	-1.79708632743539e+002
3.16227766016838e+003	1.15988465940948e+001	-1.79730330142102e+002
3.41454887383360e+003	1.15988556337071e+001	-1.79750438176519e+002
3.68694506451957e+003	1.15988633868952e+001	-1.79769075353021e+002
3.98107170553497e+003	1.15988700367139e+001	-1.79786351510476e+002
4.29866234708228e+003	1.15988757401619e+001	-1.79802368467413e+002
4.64158883361278e+003	1.15988806318985e+001	-1.79817220621852e+002
5.01187233627272e+003	1.15988848274166e+001	-1.79830995507451e+002
5.41169526546464e+003	1.15988884257720e+001	-1.79843774309247e+002
5.84341413373518e+003	1.15988915119226e+001	-1.79855632342008e+002
6.30957344480193e+003	1.15988941587300e+001	-1.79866639494018e+002
6.81292069057961e+003	1.15988964286918e+001	-1.79876860638908e+002
7.35642254459641e+003	1.15988983753978e+001	-1.79886356017938e+002
7.94328234724281e+003	1.15989000448110e+001	-1.79895181595001e+002
8.57695898590894e+003	1.15989014763458e+001	-1.79903389386418e+002
9.26118728128794e+003	1.15989027038014e+001	-1.79911027767491e+002
1.00000000000000e+004	1.15989037561606e+001	-1.79918141757581e+002
1.07977516232771e+004	1.15989046582654e+001	-1.79924773285438e+002
1.16591440117983e+004	1.15989054314161e+001	-1.79930961436293e+002
1.25892541179417e+004	1.15989060938711e+001	-1.79936742682227e+002
1.35935639087853e+004	1.15989066612667e+001	-1.79942151097099e+002
1.46779926762207e+004	1.15989071470004e+001	-1.79947218557380e+002
1.58489319246111e+004	1.15989075625410e+001	-1.79951974930029e+002
1.71132830416178e+004	1.15989079176975e+001	-1.79956448248494e+002
1.84784979742229e+004	1.15989082208588e+001	-1.79960664877964e+002
1.99526231496888e+004	1.15989084791790e+001	-1.79964649670735e+002
2.15443469003188e+004	1.15989086987606e+001	-1.79968426112695e+002
2.32630506715363e+004	1.15989088847856e+001	-1.79972016461752e+002
2.51188643150958e+004	1.15989090416453e+001	-1.79975441878996e+002
2.71227257933203e+004	1.15989091730475e+001	-1.79978722553446e+002
2.92864456462524e+004	1.15989092820907e+001	-1.79981877821021e+002
3.16227766016838e+004	1.15989093713492e+001	-1.79984926278504e+002
3.41454887383360e+004	1.15989094429345e+001	-1.79987885893156e+002
3.68694506451958e+004	1.15989094985312e+001	-1.79990774108619e+002
3.98107170553497e+004	1.15989095394543e+001	-1.79993607947714e+002
4.29866234708228e+004	1.15989095666724e+001	-1.79996404112753e+002
4.64158883361278e+004	1.15989095808261e+001	-1.79999179084040e+002
5.01187233627272e+004	1.15989095822499e+001	1.79998050783059e+002
5.41169526546464e+004	1.15989095709757e+001	1.79995269161699e+002
5.84341413373518e+004	1.15989095467389e+001	1.79992459657304e+002
6.30957344480193e+004	1.15989095089692e+001	1.79989605710983e+002
6.81292069057961e+004	1.15989094567699e+001	1.79986690501878e+002
7.35642254459641e+004	1.15989093889136e+001	1.79983696848088e+002
7.94328234724282e+004	1.15989093037966e+001	1.79980607105358e+002
8.57695898590894e+004	1.15989091994079e+001	1.79977403063079e+002
9.26118728128793e+004	1.15989090732823e+001	1.79974065837024e+002
1.00000000000000e+005	1.15989089224444e+001	1.79970575757952e+002
1.07977516232771e+005	1.15989087433315e+001	1.79966912255741e+002
1.16591440117983e+005	1.15989085317156e+001	1.79963053738156e+002
1.25892541179417e+005	1.15989082825982e+001	1.79958977463569e+002
1.35935639087853e+005	1.15989079901001e+001	1.79954659406866e+002
1.46779926762207e+005	1.15989076473155e+001	1.79950074118022e+002
1.58489319246111e+005	1.15989072461480e+001	1.79945194571905e+002
1.71132830416178e+005	1.15989067771302e+001	1.79939992009119e+002
1.84784979742229e+005	1.15989062291837e+001	1.79934435766414e+002
1.99526231496888e+005	1.15989055893754e+001	1.79928493096133e+002
2.15443469003188e+005	1.15989048425971e+001	1.79922128973026e+002
2.32630506715363e+005	1.15989039712196e+001	1.79915305887870e+002
2.51188643150958e+005	1.15989029546663e+001	1.79907983626512e+002
2.71227257933203e+005	1.15989017689382e+001	1.79900119032780e+002
2.92864456462524e+005	1.15989003860385e+001	1.79891665754139e+002
3.16227766016838e+005	1.15988987733190e+001	1.79882573968536e+002
3.41454887383360e+005	1.15988968927024e+001	1.79872790090852e+002
3.68694506451958e+005	1.15988946997855e+001	1.79862256456986e+002
3.98107170553497e+005	1.15988921427948e+001	1.79850910984230e+002
