Frecuencia	Ganancia	Fase
1.00000000000000e+000	-3.44331368981492e+001	-3.10525494375580e+000
1.07977516232771e+000	-3.30715167684357e+001	-3.41491588742843e+000
1.16591440117983e+000	-3.17060535493885e+001	-3.76370077468397e+000
1.25892541179417e+000	-3.03363772690814e+001	-4.15778778454023e+000
1.35935639087853e+000	-2.89621335623006e+001	-4.60437260180309e+000
1.46779926762207e+000	-2.75830048196122e+001	-5.11179006313682e+000
1.58489319246111e+000	-2.61987376264479e+001	-5.68962758086068e+000
1.71132830416178e+000	-2.48091771573159e+001	-6.34881966513002e+000
1.84784979742229e+000	-2.34143088483007e+001	-7.10171003337317e+000
1.99526231496888e+000	-2.20143071381166e+001	-7.96206526903932e+000
2.15443469003188e+000	-2.06095903337631e+001	-8.94502228813515e+000
2.32630506715363e+000	-1.92008797431698e+001	-1.00669516092305e+001
2.51188643150958e+000	-1.77892601900453e+001	-1.13452202239556e+001
2.71227257933203e+000	-1.63762379986965e+001	-1.27978422185979e+001
2.92864456462524e+000	-1.49637916632563e+001	-1.44430123917516e+001
3.16227766016838e+000	-1.35544098709474e+001	-1.62985276901303e+001
3.41454887383360e+000	-1.21511114933829e+001	-1.83811125719873e+001
3.68694506451958e+000	-1.07574427035025e+001	-2.07056761673228e+001
3.98107170553497e+000	-9.37744754596352e+000	-2.32845398158286e+001
4.29866234708228e+000	-8.01561001663223e+000	-2.61266816915513e+001
4.64158883361278e+000	-6.67676783497473e+000	-2.92370494983209e+001
5.01187233627272e+000	-5.36600040217455e+000	-3.26159918477974e+001
5.41169526546464e+000	-4.08849568107146e+000	-3.62588536868386e+001
5.84341413373518e+000	-2.84940266948922e+000	-4.01557713582163e+001
6.30957344480193e+000	-1.65367755298331e+000	-4.42916893899479e+001
6.81292069057961e+000	-5.05932351502504e-001	-4.86466051674483e+001
7.35642254459641e+000	5.89705182051453e-001	-5.31960308418092e+001
7.94328234724281e+000	1.62971250558218e+000	-5.79116459631395e+001
8.57695898590894e+000	2.61126772375838e+000	-6.27621011744823e+001
