Frecuencia	Ganancia	Fase
1.00000000000000e+000	-3.42268907960424e+001	-2.95785818414245e+000
1.07977516232771e+000	-3.28649797517987e+001	-3.25592537689923e+000
1.16591440117983e+000	-3.14991781240521e+001	-3.59223381647324e+000
1.25892541179417e+000	-3.01291083343824e+001	-3.97290196565373e+000
1.35935639087853e+000	-2.87544072449187e+001	-4.40506369698631e+000
1.46779926762207e+000	-2.73747471469933e+001	-4.89699041575989e+000
1.58489319246111e+000	-2.59898630243262e+001	-5.45820514475244e+000
1.71132830416178e+000	-2.45995867568288e+001	-6.09957793483682e+000
1.84784979742229e+000	-2.32038885904217e+001	-6.83338914089632e+000
1.99526231496888e+000	-2.18029256670273e+001	-7.67334458286559e+000
2.15443469003188e+000	-2.03970966769439e+001	-8.63452491471755e+000
2.32630506715363e+000	-1.89871007851082e+001	-9.73325126640899e+000
2.51188643150958e+000	-1.75739979593227e+001	-1.09868510270769e+001
2.71227257933203e+000	-1.61592668057201e+001	-1.24133119882103e+001
2.92864456462524e+000	-1.47448551489323e+001	-1.40308201489007e+001
3.16227766016838e+000	-1.33332180559589e+001	-1.58571860401795e+001
3.41454887383360e+000	-1.19273379538883e+001	-1.79091756751177e+001
3.68694506451958e+000	-1.05307220419525e+001	-2.02017739334137e+001
3.98107170553497e+000	-9.14737337428987e+000	-2.27474188188362e+001
4.29866234708228e+000	-7.78173372075110e+000	-2.55552530460647e+001
4.64158883361278e+000	-6.43859843992875e+000	-2.86304435504086e+001
5.01187233627272e+000	-5.12300589928918e+000	-3.19736189798058e+001
5.41169526546464e+000	-3.84010620248961e+000	-3.55804698099022e+001
5.84341413373518e+000	-2.59501588895762e+000	-3.94415457780661e+001
6.30957344480193e+000	-1.39266664087956e+000	-4.35422717273198e+001
6.81292069057961e+000	-2.37656703311165e-001	-4.78631869866914e+001
7.35642254459641e+000	8.65886400630149e-001	-5.23803967356904e+001
7.94328234724281e+000	1.91442419798858e+000	-5.70662082517846e+001
8.57695898590894e+000	2.90510058742033e+000	-6.18899123210060e+001
9.26118728128793e+000	3.83580619412879e+000	-6.68186618285623e+001
1.00000000000000e+001	4.70521208230677e+000	-7.18183963645025e+001
1.07977516232771e+001	5.51277332572798e+000	-7.68547634222648e+001
1.16591440117983e+001	6.25870476066020e+000	-8.18939924628629e+001
1.25892541179417e+001	6.94393257548394e+000	-8.69036862932672e+001
1.35935639087853e+001	7.57002621008806e+000	-9.18535033463482e+001
1.46779926762207e+001	8.13911542007412e+000	-9.67157133847858e+001
1.58489319246111e+001	8.65379742209704e+000	-1.01465617259201e+002
1.71132830416178e+001	9.11703888055601e+000	-1.06081828491769e+002
1.84784979742229e+001	9.53207718342168e+000	-1.10546420742889e+002
1.99526231496888e+001	9.90232500461346e+000	-1.14844950755307e+002
2.15443469003188e+001	1.02312815616511e+001	-1.18966371099012e+002
2.32630506715363e+001	1.05224532578119e+001	-1.22902850734264e+002
2.51188643150958e+001	1.07792855820021e+001	-1.26649523785185e+002
2.71227257933203e+001	1.10051072878148e+001	-1.30204187776467e+002
2.92864456462524e+001	1.12030870604487e+001	-1.33566971925193e+002
3.16227766016838e+001	1.13762021763681e+001	-1.36739994104520e+002
3.41454887383360e+001	1.15272181153050e+001	-1.39727022172858e+002
3.68694506451957e+001	1.16586777200332e+001	-1.42533151928843e+002
