Frecuencia	Ganancia	Fase
1.00000000000000e+000	-1.92109230187310e+002	-9.01799998199788e+001
1.07977516232771e+000	-1.90109233885335e+002	-9.01943593025859e+001
1.16591440117983e+000	-1.88109238196912e+002	-9.02098643068983e+001
1.25892541179417e+000	-1.86109243223839e+002	-9.02266062149340e+001
1.35935639087853e+000	-1.84109249084800e+002	-9.02446836981663e+001
1.46779926762207e+000	-1.82109255918172e+002	-9.02642032988966e+001
1.58489319246111e+000	-1.80109263885289e+002	-9.02852800579683e+001
1.71132830416178e+000	-1.78109273174254e+002	-9.03080381925100e+001
1.84784979742229e+000	-1.76109284004373e+002	-9.03326118276856e+001
1.99526231496888e+000	-1.74109296631342e+002	-9.03591457867453e+001
2.15443469003188e+000	-1.72109311353275e+002	-9.03877964440092e+001
2.32630506715363e+000	-1.70109328517745e+002	-9.04187326457785e+001
2.51188643150958e+000	-1.68109348529988e+002	-9.04521367045634e+001
2.71227257933203e+000	-1.66109371862470e+002	-9.04882054724379e+001
2.92864456462524e+000	-1.64109399066038e+002	-9.05271514997842e+001
3.16227766016838e+000	-1.62109430782919e+002	-9.05692042861793e+001
3.41454887383360e+000	-1.60109467761886e+002	-9.06146116306944e+001
3.68694506451958e+000	-1.58109510875921e+002	-9.06636410894444e+001
3.98107170553497e+000	-1.56109561142821e+002	-9.07165815488174e+001
4.29866234708228e+000	-1.54109619749215e+002	-9.07737449234615e+001
4.64158883361278e+000	-1.52109688078563e+002	-9.08354679887863e+001
5.01187233627272e+000	-1.50109767743793e+002	-9.09021143584672e+001
5.41169526546464e+000	-1.48109860625355e+002	-9.09740766182123e+001
5.84341413373518e+000	-1.46109968915570e+002	-9.10517786278725e+001
6.30957344480193e+000	-1.44110095170330e+002	-9.11356780048383e+001
6.81292069057961e+000	-1.42110242369366e+002	-9.12262688025743e+001
7.35642254459641e+000	-1.40110413986480e+002	-9.13240843990875e+001
7.94328234724281e+000	-1.38110614071417e+002	-9.14297006111111e+001
8.57695898590894e+000	-1.36110847345270e+002	-9.15437390507904e+001
9.26118728128793e+000	-1.34111119311662e+002	-9.16668707426845e+001
1.00000000000000e+001	-1.32111436386311e+002	-9.17998200199233e+001
1.07977516232771e+001	-1.30111806047977e+002	-9.19433687193646e+001
1.16591440117983e+001	-1.28112237014337e+002	-9.20983606965562e+001
1.25892541179417e+001	-1.26112739446847e+002	-9.22657066821825e+001
1.35935639087853e+001	-1.24113325189347e+002	-9.24463895024198e+001
1.46779926762207e+001	-1.22114008045926e+002	-9.26414696861779e+001
1.58489319246111e+001	-1.20114804104421e+002	-9.28520914824870e+001
1.71132830416178e+001	-1.18115732112981e+002	-9.30794893111981e+001
1.84784979742229e+001	-1.16116813918261e+002	-9.33249946695764e+001
1.99526231496888e+001	-1.14118074975179e+002	-9.35900435161155e+001
2.15443469003188e+001	-1.12119544939704e+002	-9.38761841507810e+001
2.32630506715363e+001	-1.10121258357892e+002	-9.41850856076492e+001
2.51188643150958e+001	-1.08123255466393e+002	-9.45185465712228e+001
2.71227257933203e+001	-1.06125583121916e+002	-9.48785048211740e+001
2.92864456462524e+001	-1.04128295879674e+002	-9.52670472013982e+001
3.16227766016838e+001	-1.02131457243663e+002	-9.56864200974545e+001
3.41454887383360e+001	-1.00135141114803e+002	-9.61390403909698e+001
3.68694506451957e+001	-9.81394334663641e+001	-9.66275068394991e+001
3.98107170553497e+001	-9.61444342798458e+001	-9.71546118045830e+001
4.29866234708228e+001	-9.41502597783842e+001	-9.77233532180256e+001
4.64158883361278e+001	-9.21570449988039e+001	-9.83369466352325e+001
5.01187233627272e+001	-9.01649467474427e+001	-9.89988371730383e+001
5.41169526546464e+001	-8.81741469886184e+001	-9.97127110658548e+001
5.84341413373518e+001	-8.61848567177565e+001	-1.00482506496018e+002
6.30957344480193e+001	-8.41973203732903e+001	-1.01312423259636e+002
6.81292069057961e+001	-8.22118208418464e+001	-1.02206930715841e+002
7.35642254459641e+001	-8.02286851090939e+001	-1.03170773333133e+002
7.94328234724281e+001	-7.82482906028664e+001	-1.04208972990384e+002
8.57695898590894e+001	-7.62710722643666e+001	-1.05326827011814e+002
9.26118728128793e+001	-7.42975303657067e+001	-1.06529900717233e+002
1.00000000000000e+002	-7.23282390656763e+001	-1.07824013056041e+002
1.07977516232771e+002	-7.03638556581220e+001	-1.09215213675860e+002
1.16591440117983e+002	-6.84051304161809e+001	-1.10709749570306e+002
1.25892541179417e+002	-6.64529168684216e+001	-1.12314019279568e+002
1.35935639087853e+002	-6.45081822578267e+001	-1.14034512516655e+002
1.46779926762207e+002	-6.25720178307396e+001	-1.15877733107310e+002
1.58489319246111e+002	-6.06456484817060e+001	-1.17850103320472e+002
1.71132830416178e+002	-5.87304411460335e+001	-1.19957848095971e+002
1.84784979742229e+002	-5.68279111938645e+001	-1.22206858418111e+002
1.99526231496888e+002	-5.49397259522956e+001	-1.24602534201504e+002
2.15443469003188e+002	-5.30677043867872e+001	-1.27149608588132e+002
2.32630506715363e+002	-5.12138119371519e+001	-1.29851957492457e+002
2.51188643150958e+002	-4.93801495581130e+001	-1.32712400488672e+002
2.71227257933203e+002	-4.75689361903088e+001	-1.35732501523360e+002
2.92864456462524e+002	-4.57824842066919e+001	-1.38912380154870e+002
3.16227766016838e+002	-4.40231678450548e+001	-1.42250545662619e+002
3.41454887383360e+002	-4.22933852246617e+001	-1.45743766978742e+002
3.68694506451957e+002	-4.05955151928778e+001	-1.49386990560436e+002
3.98107170553497e+002	-3.89318708610491e+001	-1.53173315809628e+002
4.29866234708228e+002	-3.73046521513533e+001	-1.57094033534224e+002
4.64158883361278e+002	-3.57158998764553e+001	-1.61138727706068e+002
5.01187233627272e+002	-3.41674537392737e+001	-1.65295435256962e+002
5.41169526546464e+002	-3.26609161697784e+001	-1.69550853939028e+002
5.84341413373517e+002	-3.11976231953171e+001	-1.73890585373059e+002
6.30957344480193e+002	-2.97786227321716e+001	-1.78299399946073e+002
