Frecuencia	Real	Imag
1.00000000000000e+000	-7.79268667381749e-013	-2.48048352851259e-010
1.07977516232771e+000	-1.05930292734122e-012	-3.12273986131371e-010
1.16591440117983e+000	-1.43996875259496e-012	-3.93129086157903e-010
1.25892541179417e+000	-1.95742842593776e-012	-4.94919359411611e-010
1.35935639087853e+000	-2.66083919433965e-012	-6.23065329413581e-010
1.46779926762207e+000	-3.61702298518781e-012	-7.84390972576219e-010
1.58489319246111e+000	-4.91681415221376e-012	-9.87487080505217e-010
1.71132830416178e+000	-6.68368822513145e-012	-1.24316869325724e-009
1.84784979742229e+000	-9.08549129813671e-012	-1.56505095493709e-009
1.99526231496888e+000	-1.23503841995612e-011	-1.97027404541426e-009
2.15443469003188e+000	-1.67885159052627e-011	-2.48041577487751e-009
2.32630506715363e+000	-2.28214848047750e-011	-3.12264041300520e-009
2.51188643150958e+000	-3.10223860682548e-011	-3.93114489215612e-009
2.71227257933203e+000	-4.21702487161660e-011	-4.94897934155587e-009
2.92864456462524e+000	-5.73240325024904e-011	-6.23033881652701e-009
3.16227766016838e+000	-7.79232120960766e-011	-7.84344813942432e-009
3.41454887383360e+000	-1.05924500562770e-010	-9.87419329523713e-009
3.68694506451958e+000	-1.43987695371609e-010	-1.24306924948982e-008
3.98107170553497e+000	-1.95728293609125e-010	-1.56490499328537e-008
4.29866234708228e+000	-2.66060861137655e-010	-1.97005980615285e-008
4.64158883361278e+000	-3.61665754118568e-010	-2.48010132002695e-008
5.01187233627272e+000	-4.91623497241857e-010	-3.12217886561327e-008
5.41169526546464e+000	-6.68277030533954e-010	-3.93046744898867e-008
5.84341413373518e+000	-9.08403652716358e-010	-4.94798501793412e-008
6.30957344480193e+000	-1.23480786055079e-009	-6.22887939518413e-008
6.81292069057961e+000	-1.67848619005358e-009	-7.84130608080403e-008
7.35642254459641e+000	-2.28156938111432e-009	-9.87104931827750e-008
7.94328234724281e+000	-3.10132083565155e-009	-1.24260779990275e-007
8.57695898590894e+000	-4.21557037524932e-009	-1.56422771748334e-007
9.26118728128793e+000	-5.73009816358761e-009	-1.96906576892671e-007
1.00000000000000e+001	-7.78866814238191e-009	-2.47864238875795e-007
1.07977516232771e+001	-1.05866607948282e-008	-3.12003764558446e-007
1.16591440117983e+001	-1.43895950258510e-008	-3.92732490696314e-007
1.25892541179417e+001	-1.95582903103245e-008	-4.94337297736523e-007
1.35935639087853e+001	-2.65830461718600e-008	-6.22211083830981e-007
1.46779926762207e+001	-3.61300649229789e-008	-7.83137289672344e-007
1.58489319246111e+001	-4.91044943972769e-008	-9.85647230421360e-007
1.71132830416178e+001	-6.67360268243254e-008	-1.24046868403187e-006
1.84784979742229e+001	-9.06951020147216e-008	-1.56108877528434e-006
1.99526231496888e+001	-1.23250621690369e-007	-1.96445988669207e-006
2.15443469003188e+001	-1.67483948283786e-007	-2.47188436652637e-006
2.32630506715363e+001	-2.27579186735082e-007	-3.11012248118433e-006
2.51188643150958e+001	-3.09216802227194e-007	-3.91277871343853e-006
2.71227257933203e+001	-4.20107139759126e-007	-4.92203452872966e-006
2.92864456462524e+001	-5.70713222397725e-007	-6.19081155281697e-006
3.16227766016838e+001	-7.75229429864855e-007	-7.78546819251751e-006
3.41454887383360e+001	-1.05290577525051e-006	-9.78915555966489e-006
3.68694506451957e+001	-1.42983845180642e-006	-1.23059855575146e-005
