time	V(vc_vo)
0.000000000000000e+000	1.968907e+001
7.567203653607857e-006	1.967653e+001
2.270161096082357e-005	1.964272e+001
5.297042557525500e-005	1.953665e+001
1.068222710751965e-004	1.923252e+001
1.868222710751932e-004	1.855583e+001
2.668222710751900e-004	1.762876e+001
3.468222710751867e-004	1.646295e+001
4.268222710751835e-004	1.510648e+001
5.068222710751802e-004	1.361804e+001
5.868222710751769e-004	1.206639e+001
6.668222710751737e-004	1.052879e+001
7.468222710751704e-004	9.088698e+000
8.268222710751672e-004	7.832595e+000
9.068222710751639e-004	6.846046e+000
9.868222710751606e-004	6.209073e+000
1.066822271075157e-003	5.991218e+000
1.146822271075154e-003	6.246760e+000
1.226822271075151e-003	7.010381e+000
1.306822271075148e-003	8.293268e+000
1.386822271075144e-003	1.007910e+001
1.466822271075141e-003	1.231692e+001
1.546822271075138e-003	1.489438e+001
1.626822271075135e-003	1.757814e+001
1.660562879788441e-003	1.848833e+001
1.699232993023436e-003	1.912211e+001
1.708422631530232e-003	1.921001e+001
1.719143868436163e-003	1.928027e+001
1.730724537655687e-003	1.934392e+001
1.748432804960204e-003	1.942329e+001
1.771569069327877e-003	1.950604e+001
1.797645704678164e-003	1.957787e+001
1.833996210045402e-003	1.964978e+001
1.873089733801625e-003	1.968290e+001
1.926256045935687e-003	1.963136e+001
1.984539355931320e-003	1.943060e+001
2.049882851864082e-003	1.900785e+001
2.129882851864079e-003	1.823393e+001
2.209882851864076e-003	1.721030e+001
2.289882851864072e-003	1.596432e+001
2.369882851864069e-003	1.454838e+001
2.449882851864066e-003	1.302520e+001
2.529882851864063e-003	1.146704e+001
2.609882851864059e-003	9.953971e+000
2.689882851864056e-003	8.571142e+000
2.769882851864053e-003	7.405354e+000
2.849882851864050e-003	6.540785e+000
2.929882851864046e-003	6.054204e+000
3.009882851864043e-003	6.010043e+000
3.089882851864040e-003	6.455738e+000
3.169882851864037e-003	7.417569e+000
3.249882851864033e-003	8.896852e+000
3.329882851864030e-003	1.086544e+001
3.409882851864027e-003	1.325527e+001
3.489882851864024e-003	1.592193e+001
3.549149953000014e-003	1.789010e+001
3.577711790006766e-003	1.864724e+001
3.597292019673959e-003	1.897818e+001
3.604980880645092e-003	1.906375e+001
3.615143960488176e-003	1.915322e+001
3.626321748249090e-003	1.923623e+001
3.638866908314858e-003	1.931309e+001
3.655408773022117e-003	1.939569e+001
3.673367778440462e-003	1.946730e+001
3.699306950466247e-003	1.954828e+001
3.727681281935846e-003	1.961563e+001
3.765827862507259e-003	1.967317e+001
3.807922078619158e-003	1.967886e+001
3.861302631357200e-003	1.957621e+001
3.920429180371277e-003	1.930942e+001
3.985892632482530e-003	1.881623e+001
4.065892632482526e-003	1.796282e+001
4.145892632482523e-003	1.687045e+001
4.225892632482520e-003	1.556992e+001
4.305892632482516e-003	1.411637e+001
4.385892632482513e-003	1.257544e+001
4.465892632482510e-003	1.102194e+001
4.545892632482507e-003	9.537691e+000
4.625892632482503e-003	8.208704e+000
4.705892632482500e-003	7.121480e+000
4.785892632482497e-003	6.358559e+000
4.865892632482494e-003	5.993645e+000
4.945892632482490e-003	6.086720e+000
5.025892632482487e-003	6.679519e+000
5.105892632482484e-003	7.791513e+000
5.185892632482481e-003	9.416065e+000
