time	Vo
0.000000000000000e+000	1.317980e+001
9.999999439624929e-011	1.317980e+001
1.999999887924986e-010	1.317979e+001
3.999999775849972e-010	1.317979e+001
7.999999551699943e-010	1.317979e+001
1.599999910339989e-009	1.317979e+001
3.199999820679977e-009	1.317980e+001
6.399999641359955e-009	1.317980e+001
1.160067263589749e-008	1.317980e+001
8.817304627066724e-005	1.317978e+001
1.763344918686986e-004	1.317976e+001
2.644959374667299e-004	1.317973e+001
3.526573830647613e-004	1.317970e+001
4.408188286627926e-004	1.317966e+001
5.289802742608240e-004	1.317961e+001
6.171417198588551e-004	1.317956e+001
6.999988627159982e-004	1.317952e+001
7.828560055731413e-004	1.317948e+001
8.657131484302845e-004	1.317945e+001
9.485702912874275e-004	1.317944e+001
1.031427434144571e-003	1.317943e+001
1.114284577001714e-003	1.317943e+001
1.197141719858857e-003	1.317944e+001
1.265713148430285e-003	1.317947e+001
1.334284577001714e-003	1.317951e+001
1.402856005573143e-003	1.317955e+001
1.471427434144572e-003	1.317960e+001
1.539998862716001e-003	1.317965e+001
1.608570291287429e-003	1.317972e+001
1.677141719858858e-003	1.317979e+001
1.737141719858858e-003	1.317985e+001
1.797141719858858e-003	1.317991e+001
1.857141719858858e-003	1.317996e+001
1.917141719858859e-003	1.318001e+001
1.977141719858859e-003	1.318005e+001
2.037141719858859e-003	1.318009e+001
2.097141719858859e-003	1.318012e+001
2.177141719858859e-003	1.318014e+001
2.257141719858859e-003	1.318013e+001
2.337141719858860e-003	1.318010e+001
2.417141719858860e-003	1.318005e+001
2.497141719858860e-003	1.317998e+001
2.577141719858860e-003	1.317988e+001
2.657141719858861e-003	1.317976e+001
2.707141719858861e-003	1.317968e+001
2.757141719858861e-003	1.317959e+001
2.807141719858861e-003	1.317951e+001
2.857141719858861e-003	1.317942e+001
2.907141719858861e-003	1.317933e+001
2.957141719858861e-003	1.317925e+001
3.007141719858861e-003	1.317916e+001
3.067141719858862e-003	1.317907e+001
3.127141719858862e-003	1.317899e+001
3.187141719858862e-003	1.317893e+001
3.247141719858862e-003	1.317889e+001
3.307141719858862e-003	1.317887e+001
3.367141719858862e-003	1.317887e+001
3.427141719858863e-003	1.317889e+001
3.481427434144577e-003	1.317894e+001
3.535713148430291e-003	1.317900e+001
3.589998862716006e-003	1.317909e+001
3.644284577001720e-003	1.317919e+001
3.698570291287435e-003	1.317931e+001
3.752856005573149e-003	1.317946e+001
3.807141719858864e-003	1.317962e+001
3.847141719858862e-003	1.317975e+001
3.887141719858862e-003	1.317987e+001
3.927141719858860e-003	1.318001e+001
3.967141719858860e-003	1.318014e+001
4.007141719858859e-003	1.318027e+001
4.047141719858857e-003	1.318040e+001
4.087141719858856e-003	1.318054e+001
4.132856005573140e-003	1.318069e+001
4.178570291287424e-003	1.318082e+001
4.224284577001708e-003	1.318094e+001
4.269998862715992e-003	1.318105e+001
4.315713148430276e-003	1.318114e+001
4.361427434144560e-003	1.318121e+001
4.407141719858843e-003	1.318127e+001
4.471427434144555e-003	1.318130e+001
4.535713148430267e-003	1.318128e+001
4.599998862715979e-003	1.318120e+001
4.664284577001690e-003	1.318107e+001
4.728570291287402e-003	1.318089e+001
4.792856005573114e-003	1.318066e+001
4.857141719858825e-003	1.318037e+001
4.891427434144538e-003	1.318020e+001
4.925713148430251e-003	1.318002e+001
4.959998862715964e-003	1.317983e+001
4.994284577001676e-003	1.317963e+001
5.028570291287390e-003	1.317943e+001
5.062856005573102e-003	1.317922e+001
5.097141719858815e-003	1.317900e+001
5.134284577001671e-003	1.317876e+001
5.171427434144527e-003	1.317853e+001
5.208570291287382e-003	1.317830e+001
5.245713148430238e-003	1.317808e+001
5.282856005573093e-003	1.317788e+001
5.319998862715949e-003	1.317767e+001
5.357141719858805e-003	1.317748e+001
5.405713148430231e-003	1.317725e+001
5.454284577001658e-003	1.317707e+001
5.502856005573084e-003	1.317693e+001
5.551427434144511e-003	1.317685e+001
5.599998862715938e-003	1.317681e+001
5.648570291287364e-003	1.317681e+001
5.697141719858791e-003	1.317687e+001
5.741427434144504e-003	1.317698e+001
5.785713148430216e-003	1.317714e+001
5.829998862715929e-003	1.317735e+001
5.874284577001641e-003	1.317760e+001
5.918570291287353e-003	1.317790e+001
5.962856005573065e-003	1.317824e+001
6.007141719858778e-003	1.317864e+001
6.035713148430206e-003	1.317891e+001
6.064284577001633e-003	1.317920e+001
